최저가,품목,밴드형태,네트워크,화면크기,해상도,화면종류,화면,블루투스버전,내장OS,호환가능OS,--,--,램,내장메모리,--,항목,--,--,건강관리,--,--,부가기능,방수기능,--,사용시간,--,--,배터리종류,배터리용량,재질,무게,--,--,--,--,--,--,--,--
38130,스마트워치,블루투스,,일정,,,"달리기, 사이클링, 수면패턴분석",,,"내휴대폰찾기, 원격촬영, 진동경보",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
45500,스마트워치,블루투스,,"e메일, 문자, 전화",,,"이동거리측정, 칼로리측정, 운동정보기록, 만보계",,,원격촬영,방수(5ATM),,147g,,,,,,,,,,,,,,,,,,,,,,,,,,
820000,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",218x218,크로마디스플레이,블루투스4.0LE,"iOS, 안드로이드",,32MB내장,,,"e메일, 문자, 전화",,,"일일활동량측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 수면패턴분석",,,"GPS, 음성명령, 고도센서, 나침반센서, 기압센서, 알람설정, 진동경보",방수(최대100m),,배터리일체형,300mAh,75g,,,,,,,,,,,,,,,
92130,스마트워치,3G,무선랜(WiFi),"1.39""",400x400,AM-OLED,터치스크린,블루투스4.0,안드로이드,"1.3GHz, MTK6580, 쿼드코어",1G,16G내장,500만화소,,,"심박측정, 만보계",,,"GPS, 날씨, 음성녹음, 알람설정, 음악 스트리밍",,,배터리일체형,350mAh,,,,,,,,,,,,,,,,
88610,스마트워치,"1.3""",360x360,AM-OLED,터치스크린,블루투스5.0,"e메일, 일정, 알람, 문자",,,"달리기, 사이클링, 심박측정, 운동정보기록, 수면패턴분석, 만보계",,,"GPS, 화면테마설정, 알람설정, 진동경보, 음악 스트리밍",,,20일,,,,,,,,,,,,,,,,,,,,,,,
36280,스마트워치,"1.22""",240x240,OLED,터치스크린,블루투스4.0,"문자, 전화",,,"혈압측정, 심박측정, 수면패턴분석, 만보계, 스트레칭알림",,,"심박센서, 알람설정",생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,
369000,스마트워치,OLED,터치스크린,"e메일, 문자",,,"VO2 MAX, 사이클링, 수영모니터링, 심박측정, 수면패턴분석",,,"날짜,요일표시, 타이머, GPS, 내휴대폰찾기, 날씨, 스톱워치, 기압센서",방수(5ATM),,최대5일,,,스테인리스스틸,24.5,,,,,,,,,,,,,,,,,,,,,,
97290,스마트워치,밴드교체형,3G,무선랜(WiFi),전화통화,"1.39""",400x400,AM-OLED,블루투스4.0,안드로이드5.1,"iOS, 안드로이드",,"1.3GHz, MTK6580, 쿼드코어",512M,4G내장,200만화소,,,"SNS, 문자, 전화",,,"심박측정, 만보계",,,"심박센서, GPS, 내휴대폰찾기, 분실방지, 음성명령(구글나우), 음성녹음",음악플레이어,,배터리,400mAh,,,,,,,,,,
32740,스마트워치,"1.22""",240x240,터치스크린,블루투스4.0,,"SNS, 문자, 전화",,,"이동거리측정, 달리기, 사이클링, 칼로리측정, 수면패턴분석, 만보계",,,"날짜,요일표시, 내휴대폰찾기, 원격촬영, 분실방지",음악플레이어,생활방수(IP68),배터리일체형,320mAh,,,,,,,,,,,,,,,,,,,,,,
278635,스마트워치,,,"이동거리측정, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"날짜,요일표시, 다중언어, 듀얼타임, 심박센서, GPS, 스톱워치, 배터리확인, 온도확인, 고도센서, 알람설정, 속도계",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121700,스마트워치,,,"이동거리측정, 달리기, 사이클링, 심박측정",,,"심박센서, GPS, 내휴대폰찾기, 앱설치, 가속계센서",방수(5ATM),,"시계모드:9일,트레이닝모드:12시간",,,37.3g,,,,,,,,,,,,,,,,,,,,,,,,,,
15644,스마트워치,터치스크린,블루투스4.0,"SNS, 문자",,,"이동거리측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"날짜,요일표시, 스톱워치, 화면테마설정",생활방수(IP68),,15일,,,배터리일체형,120mAh,,,,,,,,,,,,,,,,,,,,,,
27809,스마트워치,"1.3""",240x240,"안드로이드4.4이상, iOS9.0이상",,,"문자, 전화",,,"VO2 MAX, 이동거리측정, 달리기, 사이클링, 심박측정, 수면패턴분석",,,"내휴대폰찾기, 원격촬영, 스톱워치",생활방수(IP68),,5일,,,,,,,,,,,,,,,,,,,,,,,
820000,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",240x240,블루투스,32M,,,"SNS, e메일, 문자, 전화",,,"달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 골프",,,"심박센서, GPS, 내휴대폰찾기, 스톱워치, 화면테마설정, 고도센서, 나침반센서, 기압센서, 진동경보, 일출,일몰알림",음악플레이어,방수(10ATM),44시간(UltraTrac모드),,,87g(실리콘밴드),,,,,,,,,,,,,,,,,
439000,스마트워치,240x240,AM-OLED,문자,,,"VO2 MAX, 달리기, 사이클링, 수영모니터링, 심박측정",,,"타이머, GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, 고도센서, 기압센서",방수(5ATM),,최대5일,,,25.5g,,,,,,,,,,,,,,,,,,,,,,,
44570,스마트워치,밴드교체형,터치스크린,"SNS, 문자, 전화",,,"혈압측정, 이동거리측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계, 스트레칭알림",,,"원격촬영, 화면테마설정, 알람설정",생활방수(IP68),,7~12일,,,배터리일체형,200mAh,,,,,,,,,,,,,,,,,,,,,,
209913,스마트워치,"1.2""",390x390,AM-OLED,블루투스5.1,"안드로이드4.4이상, iOS9.0이상",16M,4G내장,,"문자, 전화",,,"스트레스모니터링, 혈압측정, VO2 MAX, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 수면패턴분석",,,"날짜,요일표시, GPS, 음악재생(저장가능), 내휴대폰찾기, 화면테마설정, 자이로센서, 기압센서, 알람설정",방수(5ATM),,7일,,,스테인리스스틸,29g,,,,,,,,,,,,,,,,
21510,스마트워치,3G(국내USIM사용X),전화통화,"1.56""",240x240,LCD,블루투스3.0,,,"533Mhz, MTK6260A",128M,64MB내장,"microSD,최대32G","내장스피커,마이크",200만화소,"문자, 전화",,,"수면패턴분석, 만보계",,,"원격촬영, 분실방지, 연락처연동, 음성녹음",음악플레이어,,3시간,180시간,,배터리,380mAh,"블랙, 오렌지, 화이트",51g,,,microUSB,,,,,
1790000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
38410,스마트워치,밴드일체형,"1.3""",터치스크린,,,"문자, 전화",,,"이동거리측정, 사이클링, 수영모니터링, 칼로리측정, 수면패턴분석, 만보계",,,"날씨, 스톱워치",생활방수(IP67),,배터리일체형,145mAh,40g,,,,,,,,,,,,,,,,,,,,,
209100,스마트워치,밴드교체형,전화통화,"1.63""",320x320,슈퍼AM-OLED,터치스크린,블루투스4.0,타이젠,안드로이드4.3이상,,,듀얼코어,512M,"내장스피커,마이크","SNS, 카톡, e메일, 일정, 문자, 전화",,,"심박측정, 운동코칭, 만보계",,,"TV, 셋톱박스","심박센서, GPS, 음악재생(저장가능), 스마트릴레이(워치→스마트폰), S보이스, 화면테마설정, 앱설치(삼성앱스토어)",음악플레이어,생활방수(IP67),,,2~3일,,,전용거치대,배터리일체형,300mAh,"모카그레이, 차콜블랙, 와일드오렌지",3.8x5.9cm,55g,,,
650100,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
499000,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",240x240,터치스크린,블루투스,,,"SNS, 문자",,,"VO2 MAX, 이동거리측정, 달리기, 수영모니터링, 심박측정, 칼로리측정, 운동코칭, 수면패턴분석, 만보계",,,"심박센서, GPS, 음악재생(저장가능), 날씨, 자이로센서, 가속계센서, 온도확인, 기압센서",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,
17950,스마트워치,블루투스4.1,,"문자, 전화",,,"운동정보기록, 만보계",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720000,스마트워치,밴드교체형,무선랜(WiFi),"1.1""",218x218,블루투스,"iOS, 안드로이드",,,64M,,,"SNS, 문자, 전화",,,"이동거리측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계, 골프",,,"심박센서, GPS, 내휴대폰찾기, 항상화면켜짐, 화면테마설정, 고도센서, 나침반센서, 기압센서, 진동경보",음악플레이어,방수(10ATM),28시간(UltraTrac모드),,,"블랙, 화이트",67g,,,,,,,,,,,,,
39690,스마트워치,블루투스,,"문자, 전화",,,"이동거리측정, 달리기, 칼로리측정, 운동정보기록, 만보계",,,원격촬영,방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
369000,스마트워치,OLED,터치스크린,"e메일, 문자",,,"VO2 MAX, 사이클링, 수영모니터링, 심박측정, 수면패턴분석",,,"날짜,요일표시, 타이머, GPS, 내휴대폰찾기, 날씨, 스톱워치, 기압센서",방수(5ATM),,최대5일,,,스테인리스스틸,24.5,,,,,,,,,,,,,,,,,,,,,,
68170,스마트워치,"0.49""",OLED,터치스크린,블루투스4.0,,"알람, 문자, 전화",,,"혈압측정, 혈중산소농도, 달리기, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"원격촬영, 스톱워치, 알람설정",방수(3ATM),,배터리일체형,90mAh,,,,,,,,,,,,,,,,,,,,,,
68250,스마트워치,"1.54""",240x240,블루투스4.0,,,MTK2502,128M,32MB내장,200만화소,,,"문자, 전화",,,"이동거리측정, 칼로리측정, 수면패턴분석, 만보계",,,"날짜,요일표시, 원격촬영, 연락처연동, 스톱워치, 화면테마설정, NFC, 음성녹음, 진동경보, 음악 스트리밍",생활방수(IP57),,3,,,배터리일체형,300mAh,,USB,,,,,,,,,,,
168680,스마트워치,밴드교체형,"2.0""",LCD,터치스크린,블루투스4.0,안드로이드,,,"1.5GHz, MTK6739",1G,16G내장,800만화소,,,"문자, 전화",,,"이동거리측정, 심박측정, 칼로리측정, 만보계",,,"GPS, 음악 스트리밍",,,900mAh,,,,,,,,,,,,,,
500000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(5ATM),18시간,,,,,,,,,,,,,,,,,,,,
549000,스마트워치,밴드교체형,"1.2""",터치스크린,블루투스,,"만보계, 골프",,,"GPS, 자이로센서, 가속계센서",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
271890,스마트워치,LTE,AM-OLED,블루투스4.0,,,"심박측정, 운동정보기록, 수면패턴분석",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12400,스마트밴드,,,"문자, 전화",,,"혈압측정, 심박측정, 수면패턴분석",,,"원격촬영, 날씨, 알람설정",생활방수(IP67),,7일,,,,,,,,,,,,,,,,,,,,,,,,,,
31370,스마트워치,"1.24""",블루투스4.0,"문자, 전화",,,"이동거리측정, 칼로리측정, 만보계",,,"날짜,요일표시, 원격촬영, 스톱워치, 알람설정",생활방수(IP67),,33개월,,,배터리일체형,610mAh,78g,,,,,,,,,,,,,,,,,,,,,
157360,스마트워치,,,"문자, 전화",,,"이동거리측정, 칼로리측정",,,알람설정,생활방수(IP67),,최대24시간,,,스테인리스스틸,,,,,,,,,,,,,,,,,,,,,,,
315350,스마트워치,밴드교체형,"1.04""",208x208,,,"이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 수면패턴분석",,,"GPS, 내휴대폰찾기, 날씨",음악플레이어,방수(5ATM),최대7일,,,"강화유리, 실리콘",,,,,,,,,,,,,,,,,,,,,,,
14820,스마트워치,"1.3""",IPS,블루투스4.0,,,"문자, 전화",,,"혈압측정, 심박측정",,,알람설정,생활방수(IP67),,7일,,,180mAh,,,,,,,,,,,,,,,,,,,,
198000,스마트워치,"1.3""",AM-OLED,터치스크린,블루투스4.2,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, GPS, 자이로센서, 나침반센서, 기압센서",방수(5ATM),,평균 2주,,,,,,,,,,,,,,,,,,,,,,,,,,
36800,스마트워치,"1.3""",240x240,IPS,"안드로이드4.4이상, iOS9.0이상",,"알람, 문자, 전화",,,"이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"GPS, 원격촬영, 날씨, 스톱워치",음악플레이어,생활방수(IP67),3~7일,,,170mAh,,,,,,,,,,,,,,,,,,,,
239170,스마트워치,밴드교체형,전화통화,"1.63""",320x320,슈퍼AM-OLED,터치스크린,블루투스4.0,타이젠,안드로이드4.3이상,,,듀얼코어,512M,"HD, 30프레임","내장스피커,마이크",200만화소,,"SNS, e메일, 일정, 문자, 전화",,,"심박측정, 운동코칭, 만보계",,,"TV, 셋톱박스","심박센서, 음악재생(저장가능), 스마트릴레이(워치→스마트폰), S보이스, 화면테마설정, 앱설치(삼성앱스토어)",음악플레이어,생활방수(IP67),,,2~3일,,,전용거치대,배터리일체형,300mAh,"차콜블랙, 골드브라운, 와일드오렌지",3.7x5.8cm,68g
592520,스마트워치,터치스크린,블루투스,"일일활동량측정, 이동거리측정, 달리기, 사이클링, 수영모니터링, 칼로리측정, 운동정보기록, 만보계",,,"날짜,요일표시, 다중언어, 듀얼타임, GPS, 스톱워치, 고도센서, 나침반센서, 기압센서, 알람설정, 속도계",방수(10ATM),,26시간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82000,스마트워치,전화통화,"1.54""",240x240,블루투스4.0,"iOS, 안드로이드","SNS, e메일, 문자, 전화",,,만보계,,,"원격촬영, 음성녹음, 음성읽기, 음성변환",음악플레이어,이지클린,배터리,320mAh,"그린, 블랙, 화이트",56g,,,,,,,,,,,,,,,,,,,,
72000,스마트워치,터치스크린,,128M,,,"문자, 전화",,,"혈압측정, 이동거리측정, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석",,,날씨,생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,
273480,스마트워치,밴드일체형,블루투스,"문자, 전화",,,"심박측정, 운동정보기록, 수면패턴분석",,,심박센서,,,"탠저린, 블랙, 블루",약75g,,,,,,,,,,,,,,,,,,,,,,,,,
95550,스마트워치,2G,전화통화,"2.2""",240x240,IPS,블루투스,,,MTK2502,64M,128MB내장,내장,,,"SNS, 문자, 전화",,,"수면패턴분석, 만보계, 스트레칭알림",,,"날짜,요일표시, 원격촬영, 연락처연동, 스톱워치, 화면테마설정, 음악 스트리밍",,,배터리일체형,500mAh,실리콘,44g,,,"microSIM, USB",,,,,,,,
24837,스마트워치,밴드교체형,"1.3""",블루투스4.0,"iOS8.0이상, 안드로이드4.4이상",,"SNS, 문자, 전화",,,"혈압측정, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"원격촬영, 날씨",생활방수(IP67),,7일,,,,,,,,,,,,,,,,,,,,,,,
97500,스마트워치,밴드교체형,전화통화,"1.22""",240x240,블루투스4.0,"iOS7.0이상, 안드로이드4.3이상",,,MT2502A,64M,128MB내장,"SNS, 문자, 전화",,,"일일활동량측정, 이동거리측정, 심박측정, 만보계",,,"심박센서, 분실방지",생활방수,,7일,,,배터리,320mAh,,,,,,,,,,,,,
24496,스마트워치,"1.0""",OLED,터치스크린,블루투스4.0,"iOS8.0이상, 안드로이드4.4이상","문자, 전화",,,"이동거리측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"날짜,요일표시, 다중언어, 원격촬영, 알람설정",음악플레이어,생활방수(IP68),배터리일체형,110mAh,,,,,,,,,,,,,,,,,,,,,,
44490,스마트워치,"1.3""",240x240,블루투스4.0,"안드로이드4.4이상, iOS9.0이상",,"문자, 전화",,,"혈압측정, 혈중산소농도, 사이클링, 심박측정, 칼로리측정, 수면패턴분석",,,원격촬영,생활방수(IP67),,3~4일,,,180mAh,,,,,,,,,,,,,,,,,,,,
1320000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
949400,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
890010,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
1250000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
770120,스마트워치,블루투스,,"이동거리측정, 칼로리측정, 수면패턴분석, 만보계",,,방수(10ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64070,스마트워치,"1.44""",,문자,,,"GPS, 원격촬영, SOS안심서비스",생활방수(IP67),,100시간,,,480mAh,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
652410,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
899000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
34980,스마트워치,"1.24""",,"문자, 전화",,,"일일활동량측정, 이동거리측정, 칼로리측정",,,"원격촬영, 가속계센서, 알람설정",방수(최대50m),,12개월,,,610mAh,,,,,,,,,,,,,,,,,,,,,,,
16900,스마트워치,"1.44""",128x128,블루투스4.0,,,"문자, 전화",,,"혈압측정, 심박측정, 칼로리측정",,,원격촬영,생활방수(IP68),,6일,,,230mAh,,,,,,,,,,,,,,,,,,,,
499200,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(5ATM),18시간,,,,,,,,,,,,,,,,,,,,
130850,스마트워치,3G,전화통화,터치스크린,블루투스4.0,,내장,,,"알람, 전화",,,"이동거리측정, 만보계",,,"GPS, SOS안심서비스, 연락처연동, 스톱워치, 알람설정",생활방수(IP54),,72시,,,,,,,,,,,,,,,,,,,,
1990000,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,터치스크린,블루투스5.0,,,32G내장,,,"문자, 전화",,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,
990000,스마트워치,"1.2""",,32G내장,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석, 스키",,,"타이머, GPS, 음악재생(저장가능), 내휴대폰찾기, 고도센서, 기압센서, 알람설정, 속도계, 일출,일몰알림",방수(10ATM),,최대9일,,,,,,,,,,,,,,,,,,,,,,,
603000,스마트워치,밴드교체형,전화통화,iOS,,,"내장스피커,마이크",,,"e메일, 일정, 문자, 전화",,,"심박측정, 칼로리측정, 운동정보기록, 만보계",,,"심박센서, 음악재생(저장가능), 내휴대폰찾기, 원격촬영, 사진앨범, 날씨, 스톱워치, 음성명령(Siri)",생활방수,,18시간,,,배터리일체형,알루미늄,,,,,,,,,,,,,,,,
685010,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
88360,스마트워치,밴드교체형,"1.26""",320x320,터치스크린,블루투스4.0,128M,128MB내장,,"이동거리측정, 사이클링, 심박측정, 수면패턴분석, 만보계",,,"GPS, 원격촬영, 나침반센서, 기압센서",생활방수(IP68),,배터리일체형,450mAh,,,,,,,,,,,,,,,,,,,,,,
383420,스마트워치,"1.19""",390x390,"문자, 전화",,,"운동동작인식, 심박측정",,,무선충전,음악플레이어,생활방수(IP67),24시간,,,300mAh,,,,,,,,,,,,,,,,,,,,,,,
79800,스마트워치,"0.96""",80x160,"혈압측정, 심박측정, 수면패턴분석",,,알람설정,생활방수,,7일,,,130mAh,,,,,,,,,,,,,,,,,,,,,,,,,,
388000,스마트워치,"1.2""",블루투스,"문자, 전화",,,"달리기, 사이클링, 골프",,,"날씨, 클라우드동기화",,,메탈,"그레이, 블랙, 화이트",,,,,,,,,,,,,,,,,,,,,,,,,
93200,스마트워치,블루투스,,"이동거리측정, 칼로리측정, 수면패턴분석, 만보계",,,내휴대폰찾기,생활방수(최대30m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346990,스마트워치,,,"심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170960,스마트워치,,,"SNS, 문자",,,"이동거리측정, 트랙킹, 수면패턴분석",,,"원격촬영, 알람설정",방수(5ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
195010,스마트워치,밴드일체형,심박측정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139000,스마트워치,밴드교체형,"1.0""",240x240,터치스크린,블루투스4.2,"안드로이드5.0, iOS8.0이상",,,"SNS, 문자, 전화",,,"이동거리측정, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"원격촬영, 분실방지, 날씨, 알람설정, 진동경보, 음악 스트리밍",방수(5ATM),,3일,30일,,배터리일체형,180mAh,,,,,,,,,,,,,,,,
139490,스마트워치,"1.22""",240x204,IPS,블루투스4.0,,"SNS, 문자, 전화",,,"심박측정, 수면패턴분석",,,"내휴대폰찾기, 원격촬영, 가속계센서, 알람설정",생활방수(IP53),,320mAh,,,,,,,,,,,,,,,,,,,,,,,
1403700,스마트워치,밴드교체형,무선랜(WiFi),블루투스,,,"심박측정, 운동정보기록",,,"심박센서, GPS, 음악재생(저장가능), 고도센서, 나침반센서, 기압센서",방수(10ATM),,,,,,,,,,,,,,,,,,,,,,,,,,,,
